source_id,longitude,latitude,periode,saison,debut,fin,ndwi_moyen,ndvi_moyen
1,-1.8532157384520647,12.095082158888353,2020-S1,seche,2020-01-01,2020-06-30,-0.18781538354506752,0.08467670375225983
1,-1.8698671635979942,12.184925189509107,2020-S1,seche,2020-01-01,2020-06-30,0.057974553670080683,-0.0813403525603183
1,-1.924281170534282,12.414088406434953,2020-S1,seche,2020-01-01,2020-06-30,-0.0321914270958857,-0.011702653700346136
1,-1.9252393735943116,12.413329828574723,2020-S1,seche,2020-01-01,2020-06-30,-0.022203685567060635,-0.029975870432431835
1,-1.9264371271229912,12.413010428342506,2020-S1,seche,2020-01-01,2020-06-30,-0.026483050847457626,-0.03325573661456601
1,-1.9267964530243678,12.41283076390253,2020-S1,seche,2020-01-01,2020-06-30,-0.035726673603884845,-0.017924683440223646
1,-1.9574161711294407,12.43118206230244,2020-S1,seche,2020-01-01,2020-06-30,0.0091635204762578,-0.045044223086156285
1,-1.952753545408458,12.40907851784621,2020-S1,seche,2020-01-01,2020-06-30,0.13046233210998512,-0.14795198819196653
1,-1.0893869452076947,12.49781139062258,2020-S1,seche,2020-01-01,2020-06-30,0.2526002971768202,-0.3524994636344132
1,-1.0895666084806583,12.498350379815955,2020-S1,seche,2020-01-01,2020-06-30,0.2513938793210259,-0.3542802180185957
1,-1.0895666104047883,12.498709705913637,2020-S1,seche,2020-01-01,2020-06-30,0.25127060865253503,-0.3553207386060412
1,-1.0906445865882128,12.514160729344816,2020-S1,seche,2020-01-01,2020-06-30,0.25381276766813693,-0.35603502940330406
1,-1.0920818892211193,12.51487937995568,2020-S1,seche,2020-01-01,2020-06-30,0.25393700787401574,-0.3544815839897807
1,-1.0924412167853803,12.51469971721013,2020-S1,seche,2020-01-01,2020-06-30,0.2543956719537686,-0.35789919525624736
1,-1.092800543994178,12.498530041793588,2020-S1,seche,2020-01-01,2020-06-30,0.25239696177312915,-0.35343527891449494
1,-1.0932497004775314,12.498260547784568,2020-S1,seche,2020-01-01,2020-06-30,0.25455425976630314,-0.3544105891911692
1,-1.093249701278998,12.514520054447027,2020-S1,seche,2020-01-01,2020-06-30,0.2566525598511152,-0.361087334093092
1,-1.0936988594280612,12.499069033244146,2020-S1,seche,2020-01-01,2020-06-30,0.2526276740447632,-0.35045674368619023
1,-1.0939683527042396,12.498530041447275,2020-S1,seche,2020-01-01,2020-06-30,0.2508552745425876,-0.3522827554801834
1,-1.09423784837424,12.498979200053313,2020-S1,seche,2020-01-01,2020-06-30,0.25483789895014364,-0.3547344608424001
1,-1.096357692819935,12.517395427751643,2020-S1,seche,2020-01-01,2020-06-30,0.24408294660826246,-0.3462895175373543
1,-1.0945073421451468,12.497631726485157,2020-S1,seche,2020-01-01,2020-06-30,0.2543619142572283,-0.3551405831944674
1,-1.0946870048543371,12.498709707427455,2020-S1,seche,2020-01-01,2020-06-30,0.25023209461803686,-0.35109054079864
1,-1.094956499093331,12.498332412799954,2020-S1,seche,2020-01-01,2020-06-30,0.25360846088795885,-0.3532620149824827
1,-1.0958548143130395,12.498350379484027,2020-S1,seche,2020-01-01,2020-06-30,0.25202039040159147,-0.3521430109842774
1,-1.0958548146838514,12.500236841525476,2020-S1,seche,2020-01-01,2020-06-30,0.2533736042406244,-0.35338426187177635
1,-1.0960344803348354,12.499697852670268,2020-S1,seche,2020-01-01,2020-06-30,0.2535714576783037,-0.3543252319643594
1,-1.0962141404453765,12.49547577035815,2020-S1,seche,2020-01-01,2020-06-30,0.2470414201183432,-0.3475056083751736
1,-1.0963938053020117,12.498350379392555,2020-S1,seche,2020-01-01,2020-06-30,0.2567651826911086,-0.3548387096774194
1,-1.0965734660943165,12.500147010106229,2020-S1,seche,2020-01-01,2020-06-30,0.2539840637450199,-0.3579082726103729
1,-1.0991486381340976,12.502841955761046,2020-S1,seche,2020-01-01,2020-06-30,0.24016664203254492,-0.3447684005282586
1,-1.0998074007463547,12.503380946683674,2020-S1,seche,2020-01-01,2020-06-30,0.2348639251888263,-0.33926907547365154
1,-1.0998074010361238,12.513082750079075,2020-S1,seche,2020-01-01,2020-06-30,0.23915619815122066,-0.3411330049261084
1,-1.1002565595377012,12.503380946237963,2020-S1,seche,2020-01-01,2020-06-30,0.24380118015922747,-0.34139282266844384
